22,78.751,62.737,22,10.769,81.681,22,0,0,22,79.185,-101.17,22,56.256,50.198,22,96.852,-58.747,22,80.059,67.172,22,12.162,79.996,22,57.044,-90.843,22,-63.154,75.931,22,95.735,-53.771,22,43.782,-86.032,22,79.954,67.084,22,-76.118,83.993,22,74.508,-101.72,22,87.863,-80.719,22,58.949,-96.026,22,75.228,67.845,22,-79.591,82.216,22,-20.211,92.204,22,-21.824,93.342,22,-69.767,84.878,22,0,0,22,0.34651,-0.90434,22,-21.671,93.551,22,-25.03,92.353
83,55.125,43.496,83,59.48,-85.662,83,-20.015,88.007,83,17.047,63.023,83,-58.599,53.125,83,40.542,-27.992,83,56.853,-27.09,83,NaN,NaN,83,-8.203,39.695,83,-29.368,-26.815,83,17.711,70.437,83,44.863,-62.485,83,40.767,-54.725,83,-37.107,-4.7672,83,-0.18398,0.98376,83,47.169,-37.46,83,0.48028,1.5354,83,63.359,47.722,83,28.067,-57.986,83,14.016,15.193,83,56.983,-52.321,83,62.399,-56.896,83,34.822,-22.814,83,1.9857,0.72344,83,-18.768,91.791,83,59.631,38.948
85,75.216,-53.575,85,62.701,-13.269,85,-17.732,81.168,85,62.163,46.016,85,NaN,NaN,85,-58.452,51.939,85,NaN,NaN,85,NaN,NaN,85,-7.7226,-4.6553,85,58.79,27.525,85,NaN,NaN,85,-45.654,-15.743,85,64.002,16.241,85,42.981,10.06,85,0.098851,0.034868,85,61.914,-55.535,85,83.312,-67.858,85,-53.067,43.423,85,1.0346,5.2257,85,-15.366,85,85,0.25234,0.089132,85,NaN,NaN,85,23.617,-42.049,85,-0.72433,1.002,85,-5.0515,82.488,85,0.59883,-1.6299
87,9.5467,1.3908,87,-64.558,65.621,87,1.9093,-2.9963,87,25.996,1.5783,87,2.4728,0.70338,87,24.715,-16.771,87,54.842,25.558,87,1.8311,4.3954,87,-16.101,52.268,87,0.23044,86.401,87,33.473,-65.004,87,70.047,44.974,87,23.18,-42.188,87,55.418,32.726,87,0.12026,0.1254,87,-56.854,53.155,87,3.1979,-3.2281,87,19.161,-37.316,87,-0.59923,0.68226,87,36.188,-61.709,87,14.716,-8.2295,87,15.287,-5.724,87,3.0573,2.7428,87,4.4955,1.1884,87,-15.751,58.55,87,4.7663,-1.2833
97,-2.2117,2.7115,97,-4.0229,-16.008,97,-0.98499,24.871,97,-3.296,5.4061,97,-5.6722,39.761,97,-7.9057,27.217,97,-2.7005,2.9923,97,-0.73314,-0.04733,97,24.059,-51.112,97,11.086,36.61,97,-0.3238,-3.8766,97,-4.8196,42.026,97,16.324,11.856,97,22.418,0.19965,97,-0.52008,-2.1508,97,-3.4347,15.181,97,-1.4748,2.3594,97,4.368,51.729,97,-1.453,-2.24,97,-2.9836,18.814,97,-6.5108,13.966,97,-42.705,21.075,97,-1.0142,-3.5639,97,-3.7213,46.101,97,6.8082,-24.526,97,-42.262,39.22
104,79.989,67.113,104,48.5,-66.237,104,20.047,78.331,104,-69.756,61.141,104,41.07,-71.934,104,81.149,-40.65,104,54.977,-44.196,104,-3.2197,85.546,104,0,0,104,43.842,-68.824,104,60.994,-48.736,104,68.864,55.021,104,80.094,67.202,104,56.022,68.329,104,20.035,80.086,104,73.027,59.678,104,30.94,-25.449,104,80.094,67.202,104,-24.276,93.494,104,-55.864,53.968,104,2.0134,18.475,104,-58.474,57.733,104,12.682,53.497,104,48.81,-48.255,104,-25.058,19.645,104,0,0
105,79.048,63.624,105,48.213,-74.511,105,-15.119,62.418,105,12.893,6.994,105,53.031,-46.915,105,47.079,-38.308,105,-55.462,52.6,105,-61.899,57.206,105,-12.21,47.341,105,58.842,-51.895,105,20.551,59.679,105,-10.974,57.7,105,15.016,5.8964,105,13.676,8.2778,105,0.096762,0.03413,105,40.569,-20.346,105,74.198,-34.497,105,43.511,-69.367,105,-11.039,48.84,105,-11.92,47.764,105,-8.5511,44.134,105,-8.1724,48.082,105,-61.255,60.44,105,-17.508,62.725,105,-17.497,62.63,105,0,0
108,50.07,-82.261,108,63.286,41.89,108,17.925,6.1139,108,9.1029,35.985,108,-20.571,89.432,108,12.111,74.699,108,43.734,29.138,108,-25.265,29.367,108,0.12944,-0.35123,108,22.189,-19.639,108,-25.099,13.772,108,4.6548,32.277,108,-55.027,49.748,108,-48.259,17.146,108,-2.0676,3.6836,108,76.258,-69.267,108,2.0349,0.72919,108,49.654,-66.911,108,-11.128,-12.105,108,48.372,-42.675,108,-12.47,35.016,108,-9.7854,28.494,108,-21.601,36.646,108,-12.473,35.125,108,-8.7847,78.286,108,-9.1338,30.094
113,32.393,52.785,113,36.374,-62.732,113,-17.636,66.272,113,33.684,-55.741,113,35.03,49.572,113,-24.203,16.038,113,-37.706,32.62,113,-16.262,70.016,113,-0.12122,1.3662,113,39.268,13.403,113,87.132,-42.969,113,37.24,-67.358,113,40.056,6.4301,113,38.925,7.7204,113,-0.37241,0.26667,113,28.54,-12.974,113,-29.549,27.975,113,-46.437,43.361,113,47.451,46.78,113,30,26.117,113,-23.659,20.834,113,44.8,51.878,113,-15.6,71.543,113,-13.002,11.361,113,-15.618,67.317,113,4.2422,1.7263
114,79.954,67.084,114,73.303,-100.14,114,-16.496,92.502,114,-76.557,84.407,114,-5.6934,88.459,114,93.442,-65.333,114,48.339,-40.928,114,4.706,84.634,114,0,0,114,69.919,-56.54,114,-29.501,24.82,114,91.396,-66.942,114,-48.051,43.691,114,-1.4151,80.564,114,0,0,114,-0.013531,67.533,114,48.868,-47.551,114,77.799,-57.072,114,-16.505,82.578,114,7.5356,-51.314,114,-5.5184,79.596,114,83.961,-55.799,114,35.84,-66.566,114,0,0,114,-11.009,82.447,114,1.4456,73.56
